t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       total[kg](9)         total[kg/m2/s](10)    total[kg/s](11)      D[kg](12)            D[kg/m2/s](13)       D[kg/s](14)          D[m](15)             D[micron](16)        D[m/s](17)           D[mm/hr](18)         
9.023052607157e-02   2.500000000000e+03   2.139241524359e+04   1.000000000000e-04   3.332955464518e-03   3.238499670932e+00   -5.082610409623e+02  5.078588502661e+01   2.596186599702e-12   2.873227456628e-08    2.873227456628e-11   2.596186599702e-12   2.873227456628e-08   2.873227456628e-11   7.386021620775e-13   7.386021620775e-07   8.174189065798e-12   2.942708063687e-05   
3.264227219184e-01   2.500000000000e+03   2.139240760024e+04   1.000000000000e-04   3.332879078011e-03   3.238426606281e+00   -5.057730870607e+02  5.061197441925e+01   9.347607208882e-12   2.844449687990e-08    2.844449687990e-11   9.347607208882e-12   2.844449687990e-08   2.844449687990e-11   2.659347712342e-12   2.659347712342e-06   8.092317746771e-12   2.913234388838e-05   
6.907681864192e-01   2.500000000000e+03   2.139244332501e+04   1.000000000000e-04   3.332767118718e-03   3.238312411972e+00   -5.028934345911e+02  5.036532806613e+01   1.964616260377e-11   2.811071643323e-08    2.811071643323e-11   1.964616260377e-11   2.811071643323e-08   2.811071643323e-11   5.589235449152e-12   5.589235449152e-06   7.997358871474e-12   2.879049193731e-05   
1.188736352772e+00   2.500000000000e+03   2.139255321399e+04   1.000000000000e-04   3.332621651512e-03   3.238154433691e+00   -5.006734367947e+02  5.015014028286e+01   3.357207409827e-11   2.785169792044e-08    2.785169792044e-11   3.357207409827e-11   2.785169792044e-08   2.785169792044e-11   9.551087936918e-12   9.551087936918e-06   7.923669394150e-12   2.852520981894e-05   
1.876355872831e+00   2.500000000000e+03   2.139276018252e+04   1.000000000000e-04   3.332427629702e-03   3.237934585317e+00   -4.994747883098e+02  5.002443824131e+01   5.266498814507e-11   2.770853401606e-08    2.770853401606e-11   5.266498814507e-11   2.770853401606e-08   2.770853401606e-11   1.498292692605e-11   1.498292692605e-05   7.882939976120e-12   2.837858391403e-05   
2.913877872647e+00   2.500000000000e+03   2.139310959951e+04   1.000000000000e-04   3.332139525802e-03   3.237601769663e+00   -4.990773363925e+02  4.998020271833e+01   8.137762057659e-11   2.765463401477e-08    2.765463401477e-11   8.137762057659e-11   2.765463401477e-08   2.765463401477e-11   2.315152790230e-11   2.315152790230e-05   7.867605694101e-12   2.832338049876e-05   
4.313253866934e+00   2.500000000000e+03   2.139359286886e+04   1.000000000000e-04   3.331752543834e-03   3.237152639822e+00   -4.990402365083e+02  4.997554641858e+01   1.200641321209e-10   2.763924507985e-08    2.763924507985e-11   1.200641321209e-10   2.763924507985e-08   2.763924507985e-11   3.415764782955e-11   3.415764782955e-05   7.863227618733e-12   2.830761942744e-05   
6.538289872288e+00   2.500000000000e+03   2.139436295800e+04   1.000000000000e-04   3.331137734661e-03   3.236438787531e+00   -4.990690311284e+02  4.997831355011e+01   1.815462105872e-10   2.762486361542e-08    2.762486361542e-11   1.815462105872e-10   2.762486361542e-08   2.762486361542e-11   5.164899305467e-11   5.164899305467e-05   7.859136163705e-12   2.829289018934e-05   
1.226361233290e+01   2.500000000000e+03   2.139634292422e+04   1.000000000000e-04   3.329557201289e-03   3.234603836033e+00   -4.991509352907e+02  4.998637946626e+01   3.396041732092e-10   2.758879188839e-08    2.758879188839e-11   3.396041732092e-10   2.758879188839e-08   2.758879188839e-11   9.661569650332e-11   9.661569650332e-05   7.848873936952e-12   2.825594617303e-05   
6.676073045277e+01   2.500000000000e+03   2.141506412828e+04   1.000000000000e-04   3.314615684396e-03   3.217273401435e+00   -4.999135858338e+02  5.006262850813e+01   1.833799608340e-09   2.724761798166e-08    2.724761798166e-11   1.833799608340e-09   2.724761798166e-08   2.724761798166e-11   5.217068587028e-10   5.217068587028e-04   7.751811659080e-12   2.790652197269e-05   
7.566583136845e+02   2.500000000000e+03   2.163338294883e+04   1.000000000000e-04   3.140757666632e-03   3.017756243471e+00   -5.112038766701e+02  5.094673140048e+01   1.922010557248e-08   2.325291762145e-08    2.325291762145e-11   1.922010557248e-08   2.325291762145e-08   2.325291762145e-11   5.468024344944e-09   5.468024344944e-03   6.615339294864e-12   2.381522146151e-05   
2.335757226415e+03   2.500000000000e+03   2.202136144401e+04   1.000000000000e-04   2.833463391707e-03   2.674530823399e+00   -5.411452064822e+02  5.249565749001e+01   4.995040319832e-08   1.608568505208e-08    1.608568505208e-11   4.995040319832e-08   1.608568505208e-08   1.608568505208e-11   1.421064102370e-08   1.421064102370e-02   4.576297312113e-12   1.647467032361e-05   
