t[s](1)              T[K](2)              P[Pa](3)             V[m3](4)             rho[kg/m3](5)        MW[kg/kmol](6)       Qgas[W/m3](7)        Qsurf[W/m2](8)       bulk[kg](9)          D[kg](10)            DIAMOND(11)          CH(S)_z(12)          C(S,R)_z(13)         CH3(S)_z(14)         CH2(S)_z(15)         CH3_x(16)            C2H6_x(17)           CH4_x(18)            H_x(19)              H2_x(20)             CH3_w(21)            C2H6_w(22)           CH4_w(23)            H_w(24)              H2_w(25)             
1.610833814654e-04   2.500000000000e+03   2.127642059646e+04   1.000000000000e-04   3.332985537707e-03   3.256184681944e+00   -3.803108661080e+07  4.351134845107e+01   3.058420347708e-15   3.058420347708e-15   5.220000000000e-08   9.999949598952e-01   1.620405672165e-07   4.877596064560e-06   4.681541051489e-10   5.174039063365e-02   1.298569291086e-04   4.324617708468e-02   4.333392799890e-02   8.615496473537e-01   2.389043727856e-01   1.199194200919e-03   2.130709636231e-01   1.341465684292e-02   5.334108125475e-01   
2.141860749624e-04   2.500000000000e+03   2.134040910825e+04   1.000000000000e-04   3.332985520634e-03   3.246421103103e+00   -1.723590474822e+07  4.750212656569e+01   4.520391084783e-15   4.520391084783e-15   5.220000000000e-08   9.999926279292e-01   1.622189244652e-07   7.208762183769e-06   1.089733972777e-09   5.363851079610e-02   1.400256121217e-04   4.104212554148e-02   4.714766456846e-02   8.580316734818e-01   2.484135513010e-01   1.296988266974e-03   2.028199018737e-01   1.463915035667e-02   5.328304082016e-01   
2.795627181821e-04   2.500000000000e+03   2.137318901270e+04   1.000000000000e-04   3.332985499013e-03   3.241442069657e+00   -6.408312941110e+06  4.959695429908e+01   6.371781929944e-15   6.371781929944e-15   5.220000000000e-08   9.999896749445e-01   1.623057435329e-07   1.016049050831e-05   2.259241641360e-09   5.455722584887e-02   1.451074294625e-04   3.996760483953e-02   4.914175993609e-02   8.561883019460e-01   2.530564662832e-01   1.346123185696e-03   1.978132758341e-01   1.528174613268e-02   5.325023885643e-01   
3.703154501996e-04   2.500000000000e+03   2.138761342613e+04   1.000000000000e-04   3.332985468613e-03   3.239255919594e+00   -1.607192528003e+06  5.052925062323e+01   8.975027841351e-15   8.975027841351e-15   5.220000000000e-08   9.999855228300e-01   1.623425981571e-07   1.431021429596e-05   4.613122285937e-09   5.495033804965e-02   1.473144571554e-04   3.950613051954e-02   5.002756695137e-02   8.553686500223e-01   2.550518817126e-01   1.367519503411e-03   1.956612436807e-01   1.556770738398e-02   5.323516477193e-01   
5.632791177493e-04   2.500000000000e+03   2.139217391724e+04   1.000000000000e-04   3.332985403655e-03   3.238565295626e+00   -8.464917852488e+04  5.082523940989e+01   1.453750924056e-14   1.453750924056e-14   5.220000000000e-08   9.999766508766e-01   1.623529103283e-07   2.317440581828e-05   1.236469568037e-08   5.507322758848e-02   1.480084318518e-04   3.936164901638e-02   5.030866773933e-02   8.551084472240e-01   2.556767846992e-01   1.374254664971e-03   1.949872451120e-01   1.565851951954e-02   5.323031960043e-01   
8.708758325233e-04   2.500000000000e+03   2.139242342653e+04   1.000000000000e-04   3.332985300029e-03   3.238527422118e+00   -1.271691109300e+03  5.084128942871e+01   2.341177547931e-14   2.341177547931e-14   5.220000000000e-08   9.999624969479e-01   1.623512541650e-07   3.730836800174e-05   3.233279970818e-08   5.507992890304e-02   1.480463314814e-04   3.935375983531e-02   5.032406418298e-02   8.550942007472e-01   2.557108858893e-01   1.374622637673e-03   1.949504440406e-01   1.566349482356e-02   5.323005526089e-01   
1.728729264634e-03   2.500000000000e+03   2.139242558610e+04   1.000000000000e-04   3.332985011053e-03   3.238526814402e+00   -5.097273653333e+02  5.084096103425e+01   4.816077105575e-14   4.816077105575e-14   5.220000000000e-08   9.999230232190e-01   1.623448519506e-07   7.667720750426e-05   1.372286856325e-07   5.507997870101e-02   1.480466154992e-04   3.935367988492e-02   5.032420559136e-02   8.550940892072e-01   2.557111650631e-01   1.374625532753e-03   1.949500845656e-01   1.566354177658e-02   5.323005830620e-01   
1.128528196914e-02   2.500000000000e+03   2.139242426515e+04   1.000000000000e-04   3.332981795200e-03   3.238523889662e+00   -5.091658866101e+02  5.083556450114e+01   3.238013034923e-13   3.238013034923e-13   5.220000000000e-08   9.994834364118e-01   1.622734904107e-07   5.102729008625e-04   6.128413893721e-06   5.507985082255e-02   1.480459189235e-04   3.935359201969e-02   5.032421339262e-02   8.550942978462e-01   2.557108023165e-01   1.374620306419e-03   1.949498253600e-01   1.566355835063e-02   5.323011936665e-01   
9.023052607157e-02   2.500000000000e+03   2.139241524359e+04   1.000000000000e-04   3.332955464518e-03   3.238499670932e+00   -5.082610409623e+02  5.078588502661e+01   2.596186599702e-12   2.596186599702e-12   5.220000000000e-08   9.958825705727e-01   1.616889342711e-07   3.764201856672e-03   3.530658816882e-04   5.507879031320e-02   1.480401555847e-04   3.935286570155e-02   5.032427510850e-02   8.550960287212e-01   2.557077911175e-01   1.374577072808e-03   1.949476852071e-01   1.566369469806e-02   5.323062519046e-01   
3.264227219184e-01   2.500000000000e+03   2.139240760024e+04   1.000000000000e-04   3.332879078011e-03   3.238426606281e+00   -5.057730870607e+02  5.061197441925e+01   9.347607208882e-12   9.347607208882e-12   5.220000000000e-08   9.859645231671e-01   1.600788766283e-07   1.070800136548e-02   3.327315388568e-03   5.507557851168e-02   1.480228379122e-04   3.935068425038e-02   5.032443896074e-02   8.551012754393e-01   2.556986489512e-01   1.374447284655e-03   1.949412767753e-01   1.566409909983e-02   5.323215278891e-01   
